"Date","Price","Open","High","Low","Vol.","Change %"
"12/21/2022","3.1088","3.0334","3.1526","3.0211","39.15K","2.63%"
"12/20/2022","3.0291","3.0648","3.0648","2.9682","35.43K","0.37%"
"12/19/2022","3.0179","3.0750","3.1267","3.0152","37.40K","-1.84%"
"12/16/2022","3.0746","3.2140","3.2242","3.0683","43.88K","-4.36%"
"12/15/2022","3.2146","3.2182","3.2580","3.1786","45.57K","-0.47%"
"12/14/2022","3.2298","3.0550","3.2367","3.0458","47.73K","5.57%"
"12/13/2022","3.0594","2.9338","3.0816","2.9220","38.28K","4.07%"
"12/12/2022","2.9397","2.8008","2.9683","2.7652","45.82K","5.82%"
"12/09/2022","2.7780","2.8388","2.8613","2.7517","38.36K","-2.36%"
"12/08/2022","2.8450","2.7667","2.8667","2.7650","48.44K","2.84%"
"12/07/2022","2.7665","2.8941","2.9111","2.7555","49.41K","-4.17%"
"12/06/2022","2.8869","2.9702","2.9985","2.8544","36.42K","-2.80%"
"12/05/2022","2.9702","3.1414","3.1995","2.9625","45.65K","-5.09%"
"12/02/2022","3.1294","3.2122","3.2595","3.1100","33.28K","-4.08%"
"12/01/2022","3.2624","3.3539","3.4103","3.2476","52.14K","-2.99%"
"11/30/2022","3.3629","3.3150","3.4010","3.3037","1.78K","2.03%"
